,date,open,high,low,adj_close**,sentiments
68,2019-07-12,1143.99,1147.34,1138.78,1144.9,0.1752025
67,2019-07-15,1146.86,1150.82,1139.4,1150.34,0.06968777777777778
66,2019-07-16,1146.0,1158.58,1145.0,1153.58,-0.11430111111111112
65,2019-07-17,1150.97,1158.36,1145.77,1146.35,0.054367361111111116
64,2019-07-18,1141.74,1147.6,1132.73,1146.33,-0.09483083333333335
63,2019-07-19,1148.19,1151.14,1129.62,1130.1,0.1914926388888889
62,2019-07-22,1133.45,1139.25,1124.24,1138.07,-0.11157958333333333
61,2019-07-23,1144.0,1146.9,1131.8,1146.21,-0.11117305555555557
60,2019-07-24,1131.9,1144.0,1126.99,1137.81,0.18316861111111113
59,2019-07-25,1137.82,1141.7,1120.92,1132.12,0.17649569444444443
58,2019-07-26,1224.04,1265.55,1224.0,1250.41,0.2026348611111111
57,2019-07-29,1241.05,1247.37,1228.23,1239.41,0.18849083333333336
56,2019-07-30,1225.41,1234.87,1223.3,1225.14,0.1856447222222222
55,2019-07-31,1223.0,1234.0,1207.76,1216.68,0.17453180555555556
54,2019-08-01,1214.03,1234.11,1205.72,1209.01,0.17196569444444443
53,2019-08-02,1200.74,1206.9,1188.94,1193.99,0.18747430555555555
52,2019-08-05,1170.04,1175.24,1140.14,1152.32,0.08408833333333332
51,2019-08-06,1163.31,1179.96,1160.0,1169.95,0.15433763888888888
50,2019-08-07,1156.0,1178.44,1149.62,1173.99,-0.11296347222222221
49,2019-08-08,1182.83,1205.01,1173.02,1204.8,0.20787930555555556
48,2019-08-09,1197.99,1203.88,1183.6,1188.01,0.08300125000000001
47,2019-08-12,1179.21,1184.96,1167.67,1174.71,-0.011212222222222226
46,2019-08-13,1171.46,1204.78,1171.46,1197.27,0.03917069444444444
45,2019-08-14,1176.31,1182.3,1160.54,1164.29,0.19209791666666667
44,2019-08-15,1163.5,1175.84,1162.11,1167.26,-0.029986527777777782
43,2019-08-16,1179.55,1182.72,1171.81,1177.6,0.14702916666666668
42,2019-08-19,1190.09,1206.99,1190.09,1198.45,0.17160666666666669
41,2019-08-20,1195.25,1196.06,1182.11,1182.69,0.18334763888888891
40,2019-08-21,1193.15,1199.0,1187.43,1191.25,0.19657916666666667
39,2019-08-22,1194.07,1198.01,1178.58,1189.53,0.1740209722222222
38,2019-08-23,1181.99,1194.08,1147.75,1151.29,0.13010541666666667
37,2019-08-26,1157.26,1169.47,1152.96,1168.89,0.164325
36,2019-08-27,1180.53,1182.4,1161.45,1167.84,0.19509472222222224
35,2019-08-28,1161.71,1176.42,1157.3,1171.02,-0.052126111111111116
34,2019-08-29,1181.12,1196.06,1181.12,1192.85,0.1342998611111111
33,2019-08-30,1198.5,1198.5,1183.8,1188.1,0.14733013888888888
32,2019-09-03,1177.03,1186.89,1163.2,1168.39,0.19379041666666666
31,2019-09-04,1176.71,1183.48,1171.0,1181.41,-0.12683555555555556
30,2019-09-05,1191.53,1213.04,1191.53,1211.38,0.19470263888888886
29,2019-09-06,1208.13,1212.02,1202.52,1204.93,0.07471847222222222
28,2019-09-09,1204.0,1220.0,1192.62,1204.41,0.17436333333333334
27,2019-09-10,1195.15,1210.0,1194.58,1206.0,0.051360138888888886
26,2019-09-11,1203.41,1222.6,1202.2,1220.17,-0.02578513888888889
25,2019-09-12,1224.3,1241.86,1223.02,1234.25,0.025398749999999998
24,2019-09-13,1231.35,1240.88,1227.01,1239.56,0.09960194444444444
23,2019-09-16,1229.52,1239.56,1225.61,1231.3,0.20655472222222224
22,2019-09-17,1230.4,1235.0,1223.69,1229.15,-0.0673623611111111
21,2019-09-18,1227.51,1235.61,1216.53,1232.41,0.18208680555555556
20,2019-09-19,1232.06,1244.44,1232.02,1238.71,0.04452236111111111
19,2019-09-20,1233.12,1243.32,1223.08,1229.93,0.1301138888888889
18,2019-09-23,1226.0,1239.09,1224.17,1234.03,0.10484013888888888
17,2019-09-24,1240.0,1246.74,1210.68,1218.76,0.1937515277777778
16,2019-09-25,1215.82,1248.3,1210.09,1246.52,0.14353527777777778
15,2019-09-26,1241.96,1245.0,1232.27,1241.39,0.08100166666666667
14,2019-09-27,1243.01,1244.02,1214.45,1225.09,0.20439875
13,2019-09-30,1220.97,1226.0,1212.3,1219.0,0.2064645833333333
12,2019-10-01,1219.0,1231.23,1203.58,1205.1,0.1500386111111111
11,2019-10-02,1196.98,1196.98,1171.29,1176.63,-0.01877152777777778
10,2019-10-03,1180.0,1189.06,1162.43,1187.83,0.19301833333333332
9,2019-10-04,1191.89,1211.44,1189.17,1209.0,0.1393976388888889
8,2019-10-07,1204.4,1218.2,1203.75,1207.68,0.18863555555555556
7,2019-10-08,1197.59,1206.08,1189.01,1189.13,0.16210222222222223
6,2019-10-09,1199.35,1208.35,1197.63,1202.31,0.193995
5,2019-10-10,1198.58,1215.0,1197.34,1208.67,0.1985751388888889
4,2019-10-11,1222.21,1228.39,1213.74,1215.45,0.14830791666666668
3,2019-10-14,1212.34,1226.33,1211.76,1217.14,-0.06270708333333332
2,2019-10-15,1220.4,1247.33,1220.4,1243.01,0.13252972222222223
1,2019-10-16,1241.17,1254.74,1238.45,1243.64,0.18720361111111114
0,2019-10-17,1250.93,1263.32,1249.94,1253.07,0.05283083333333333
